id,name,name_en,city_id
420,海安县,HaiAnXian,42
421,广陵区,GuangLingQu,43
422,邗江区,HanJiangQu,43
423,江都区,JiangDuQu,43
424,仪征市,YiZhengShi,43
425,高邮市,GaoYouShi,43
426,宝应县,BaoYingXian,43
427,连云区,LianYunQu,44
428,海州区,HaiZhouQu,44
429,赣榆区,GanYuQu,44
430,东海县,DongHaiXian,44
431,灌云县,GuanYunXian,44
432,灌南县,GuanNaXian,44
433,清江浦区,QingJiangPuQu,45
434,淮安区,HuaiAnQu,45
435,淮阴区,HuaiYinQu,45
436,洪泽区,HongZeQu,45
437,涟水县,LianShuiXian,45
438,盱眙县,XuYiXian,45
439,金湖县,JinHuXian,45
440,亭湖区,TingHuQu,46
441,盐都区,YanDuQu,46
442,大丰区,DaFengQu,46
443,响水县,XiangShuiXian,46
444,滨海县,BinHaiXian,46
445,阜宁县,FuNingXian,46
446,射阳县,SheYangXian,46
447,建湖县,JianHuXian,46
448,东台市,DongTaiShi,46
449,京口区,JingKouQu,47
450,润州区,RunZhouQu,47
451,丹徒区,DanTuQu,47
452,丹阳市,DanYangShi,47
453,扬中市,YangZhongShi,47
454,句容市,JuRongShi,47
455,海陵区,HaiLingQu,48
456,高港区,GaoGangQu,48
457,姜堰区,JiangYanQu,48
458,兴化市,XingHuaShi,48
459,靖江市,JingJiangShi,48
460,泰兴市,TaiXingShi,48
461,宿城区,SuChengQu,49
462,宿豫区,SuYuQu,49
463,沭阳县,ShuYangXian,49
464,泗阳县,SiYangXian,49
465,泗洪县,SiHongXian,49
466,鼓楼区,GuLouQu,50
467,台江区,TaiJiangQu,50
468,晋安区,JinAnQu,50
469,仓山区,CangShanQu,50
470,闽侯县,MinHouXian,50
471,马尾区,MaWeiQu,50
472,福清市,FuQingShi,50
473,平潭县,PingTanXian,50
474,罗源县,LuoYuanXian,50
475,闽清县,MinQingXian,50
476,连江县,LianJiangXian,50
477,长乐区,ChangLeQu,50
478,永泰县,YongTaiXian,50
479,思明区,SiMingQu,51
480,湖里区,HuLiQu,51
481,集美区,JiMeiQu,51
482,同安区,TongAnQu,51
483,翔安区,XiangAnQu,51
484,海沧区,HaiCangQu,51
485,城厢区,ChengXiangQu,52
486,涵江区,HanJiangQu,52
487,荔城区,LiChengQu,52
488,秀屿区,XiuYuQu,52
489,仙游县,XianYouXian,52
490,梅列区,MeiLieQu,53
491,三元区,SanYuanQu,53
492,永安市,YongAnShi,53
493,大田县,DaTianXian,53
494,尤溪县,YouXiXian,53
495,清流县,QingLiuXian,53
496,宁化县,NingHuaXian,53
497,明溪县,MingXiXian,53
498,沙县,ShaXian,53
499,将乐县,JiangLeXian,53
500,泰宁县,TaiNingXian,53
501,建宁县,JianNingXian,53
502,芗城区,XiangChengQu,54
503,龙文区,LongWenQu,54
504,漳州招商局经济技术开发区,ZhangZhouZhaoShangJuJingJiJiShuKaiFaQu,54
505,漳州台商投资区,ZhangZhouTaiShangTouZiQu,54
506,漳州高新技术产业开发区,ZhangZhouGaoXinJiShuChanYeKaiFaQu,54
507,常山华侨经济开发区,ChangShanHuaQiaoJingJiKaiFaQu,54
508,古雷港经济开发区,GuLeiGangJingJiKaiFaQu,54
509,龙海市,LongHaiShi,54
510,漳浦县,ZhangPuXian,54
511,南靖县,NaJingXian,54
512,云霄县,YunXiaoXian,54
513,平和县,PingHeXian,54
514,华安县,HuaAnXian,54
515,长泰县,ChangTaiXian,54
516,诏安县,ZhaoAnXian,54
517,东山县,DongShanXian,54
518,丰泽区,FengZeQu,55
519,鲤城区,LiChengQu,55
520,洛江区,LuoJiangQu,55
521,泉港区,QuanGangQu,55
522,泉州经济技术开发区,QuanZhouJingJiJiShuKaiFaQu,55
523,泉州台商投资区,QuanZhouTaiShangTouZiQu,55
524,泉州高新技术产业开发区,QuanZhouGaoXinJiShuChanYeKaiFaQu,55
525,石狮市,ShiShiShi,55
526,晋江市,JinJiangShi,55
527,南安市,NaAnShi,55
528,惠安县,HuiAnXian,55
529,安溪县,AnXiXian,55
530,永春县,YongChunXian,55
531,德化县,DeHuaXian,55
532,金门县,JinMenXian,55
533,延平区,YanPingQu,56
534,建阳区,JianYangQu,56
535,邵武市,ShaoWuShi,56
536,武夷山市,WuYiShanShi,56
537,建瓯市,JianOuShi,56
