id,name,name_en,province_id,tier_id
172,襄阳市,XiangYangShi,17,3
173,鄂州市,eZhouShi,17,5
174,荆门市,JingMenShi,17,4
175,孝感市,XiaoGanShi,17,4
176,荆州市,JingZhouShi,17,3
177,黄冈市,HuangGangShi,17,3
178,咸宁市,XianNingShi,17,4
179,随州市,SuiZhouShi,17,5
180,恩施土家族苗族自治州,EnShiTuJiaZuMiaoZuZiZhiZhou,17,5
181,仙桃市,XianTaoShi,17,6
182,潜江市,QianJiangShi,17,6
183,天门市,TianMenShi,17,6
184,神农架林区,ShenNongJiaLinQu,17,6
185,长沙,ChangSha,18,2
186,株洲市,ZhuZhouShi,18,3
187,湘潭市,XiangTanShi,18,4
188,衡阳市,HengYangShi,18,3
189,邵阳市,ShaoYangShi,18,4
190,岳阳市,YueYangShi,18,3
191,常德市,ChangDeShi,18,3
192,张家界市,ZhangJiaJieShi,18,4
193,益阳市,YiYangShi,18,4
194,娄底市,LouDiShi,18,4
195,郴州市,ChenZhouShi,18,4
196,永州市,YongZhouShi,18,4
197,怀化市,HuaiHuaShi,18,4
198,湘西土家苗族自治州,XiangXiTuJiaMiaoZuZiZhiZhou,18,5
199,南宁,NaNing,19,2
200,柳州市,LiuZhouShi,19,3
201,桂林市,GuiLinShi,19,3
202,梧州市,WuZhouShi,19,5
203,北海市,BeiHaiShi,19,4
204,防城港市,FangChengGangShi,19,5
205,钦州市,QinZhouShi,19,5
206,贵港市,GuiGangShi,19,5
207,玉林市,YuLinShi,19,4
208,百色市,BaiSeShi,19,5
209,贺州市,HeZhouShi,19,5
210,河池市,HeChiShi,19,5
211,来宾市,LaiBinShi,19,5
